,S_0,a,b,alpha,beta,final_skills,n_prac,prop_quit
0,0.02,0.6,5.0,0.4,0.3,5.232783714486108e-08,51,0.9
1,0.02,0.6,5.0,0.4,0.3,5.198796112284851e-08,51,0.9
2,0.02,0.6,5.0,0.4,0.3,4.088785565579605e-06,64,0.9
3,0.02,0.6,5.0,0.4,0.3,2.793227321996539e-06,63,0.9
4,0.02,0.6,5.0,0.4,0.3,4.0327186779280485e-06,64,0.9
5,0.02,0.6,5.0,0.4,0.3,0.0015689855629094952,82,0.9
6,0.02,0.6,5.0,0.4,0.3,7.739247088224125e-07,59,0.9
7,0.02,0.6,5.0,0.4,0.3,4.831185309725307e-06,65,0.9
8,0.02,0.6,5.0,0.4,0.3,1.5178765939987347e-06,61,0.9
9,0.02,0.6,5.0,0.4,0.3,5.2640097777321164e-08,51,0.9
10,0.02,0.6,5.0,0.4,0.3,0.00031884811573493194,77,0.9
11,0.02,0.6,5.0,0.4,0.3,0.0004196379650886638,78,0.9
12,0.02,0.6,5.0,0.4,0.3,1.3516857429066807e-07,54,0.9
13,0.02,0.6,5.0,0.4,0.3,2.0993090370693775e-06,62,0.9
14,0.02,0.6,5.0,0.4,0.3,1.516966718886039e-05,68,0.9
15,0.02,0.6,5.0,0.4,0.3,2.95201059908264e-06,63,0.9
16,0.02,0.6,5.0,0.4,0.3,2.1654560067342512e-05,69,0.9
17,0.02,0.6,5.0,0.4,0.3,3.6958119090829946e-06,64,0.9
18,0.02,0.6,5.0,0.4,0.3,4.073608531570709e-06,64,0.9
19,0.02,0.6,5.0,0.4,0.3,2.4258594171505112e-05,70,0.9
20,0.02,0.6,5.0,0.4,0.3,0.834383415761334,430,0.9
21,0.02,0.6,5.0,0.4,0.3,0.7981164662797856,422,0.9
22,0.02,0.6,5.0,0.4,0.3,1.0372850214805408e-06,60,0.9
23,0.02,0.6,5.0,0.4,0.3,2.0737585220210916e-06,62,0.9
24,0.02,0.6,5.0,0.4,0.3,7.242267783550972e-05,73,0.9
25,0.02,0.6,5.0,0.4,0.3,5.637440293343641e-05,72,0.9
26,0.02,0.6,5.0,0.4,0.3,2.6831944578334562e-08,49,0.9
27,0.02,0.6,5.0,0.4,0.3,2.209979166324544e-05,69,0.9
28,0.02,0.6,5.0,0.4,0.3,6.446521501857324e-08,52,0.9
29,0.02,0.6,5.0,0.4,0.3,7.685467044390175e-06,66,0.9
30,0.02,0.6,5.0,0.4,0.3,0.9007675754903013,438,0.9
31,0.02,0.6,5.0,0.4,0.3,0.00041243453496581854,78,0.9
32,0.02,0.6,5.0,0.4,0.3,6.010543533010643e-06,66,0.9
33,0.02,0.6,5.0,0.4,0.3,3.706621706602414e-08,50,0.9
34,0.02,0.6,5.0,0.4,0.3,7.404515969673899e-07,59,0.9
35,0.02,0.6,5.0,0.4,0.3,0.938652339637422,402,0.9
36,0.02,0.6,5.0,0.4,0.3,7.673924667533619e-07,59,0.9
37,0.02,0.6,5.0,0.4,0.3,7.327669337994956e-07,59,0.9
38,0.02,0.6,5.0,0.4,0.3,0.00044930663557316003,78,0.9
39,0.02,0.6,5.0,0.4,0.3,0.8921336218525879,442,0.9
40,0.02,0.6,5.0,0.4,0.3,1.989720270857213e-06,62,0.9
41,0.02,0.6,5.0,0.4,0.3,5.390415562721969e-07,58,0.9
42,0.02,0.6,5.0,0.4,0.3,1.9115184101474787e-07,55,0.9
43,0.02,0.6,5.0,0.4,0.3,5.6349109947887985e-06,65,0.9
44,0.02,0.6,5.0,0.4,0.3,2.7693267733624885e-06,63,0.9
45,0.02,0.6,5.0,0.4,0.3,3.7089913690788593e-05,71,0.9
46,0.02,0.6,5.0,0.4,0.3,3.871969574038352e-06,64,0.9
47,0.02,0.6,5.0,0.4,0.3,0.000267611190667075,77,0.9
48,0.02,0.6,5.0,0.4,0.3,0.009051429064564076,89,0.9
49,0.02,0.6,5.0,0.4,0.3,7.63295229016783e-07,59,0.9
50,0.02,0.6,5.0,0.4,0.3,1.5793853906724182e-05,68,0.9
51,0.02,0.6,5.0,0.4,0.3,3.6573836108005406e-07,57,0.9
52,0.02,0.6,5.0,0.4,0.3,1.0447569836623509e-05,67,0.9
53,0.02,0.6,5.0,0.4,0.3,3.7989569488208906e-06,64,0.9
54,0.02,0.6,5.0,0.4,0.3,9.582548247640617e-09,46,0.9
55,0.02,0.6,5.0,0.4,0.3,3.5423871980713334e-09,43,0.9
56,0.02,0.6,5.0,0.4,0.3,3.032580392730629e-06,64,0.9
57,0.02,0.6,5.0,0.4,0.3,3.977052072009545e-05,72,0.9
58,0.02,0.6,5.0,0.4,0.3,0.8709697877190371,396,0.9
59,0.02,0.6,5.0,0.4,0.3,1.5401170812513507e-05,68,0.9
60,0.02,0.6,5.0,0.4,0.3,0.8571348848756031,471,0.9
61,0.02,0.6,5.0,0.4,0.3,2.7938067548179594e-06,63,0.9
62,0.02,0.6,5.0,0.4,0.3,0.7901529990897633,434,0.9
63,0.02,0.6,5.0,0.4,0.3,0.0001504562234933979,75,0.9
64,0.02,0.6,5.0,0.4,0.3,1.5023155117944881e-06,61,0.9
65,0.02,0.6,5.0,0.4,0.3,1.9823837370734142e-07,55,0.9
66,0.02,0.6,5.0,0.4,0.3,1.9696407650245677e-07,55,0.9
67,0.02,0.6,5.0,0.4,0.3,1.440234981556674e-07,54,0.9
68,0.02,0.6,5.0,0.4,0.3,5.783141157656769e-06,65,0.9
69,0.02,0.6,5.0,0.4,0.3,0.00047611666371202594,79,0.9
70,0.02,0.6,5.0,0.4,0.3,2.8141559698497263e-07,56,0.9
71,0.02,0.6,5.0,0.4,0.3,1.913847634456771e-07,55,0.9
72,0.02,0.6,5.0,0.4,0.3,1.4286490400527527e-07,54,0.9
73,0.02,0.6,5.0,0.4,0.3,7.742392013750659e-06,66,0.9
74,0.02,0.6,5.0,0.4,0.3,1.1693731030827138e-05,68,0.9
75,0.02,0.6,5.0,0.4,0.3,0.00010692609851941436,74,0.9
76,0.02,0.6,5.0,0.4,0.3,2.7684686492537002e-05,70,0.9
77,0.02,0.6,5.0,0.4,0.3,1.3328143226699426e-08,47,0.9
78,0.02,0.6,5.0,0.4,0.3,2.104634690907083e-06,62,0.9
79,0.02,0.6,5.0,0.4,0.3,7.791332790399593e-06,66,0.9
80,0.02,0.6,5.0,0.4,0.3,4.107933222476424e-06,64,0.9
81,0.02,0.6,5.0,0.4,0.3,1.0543499519270196e-06,60,0.9
82,0.02,0.6,5.0,0.4,0.3,4.252810101755841e-05,71,0.9
83,0.02,0.6,5.0,0.4,0.3,0.8855129673107185,416,0.9
84,0.02,0.6,5.0,0.4,0.3,3.8207460668785445e-07,57,0.9
85,0.02,0.6,5.0,0.4,0.3,8.999084090442313e-05,74,0.9
86,0.02,0.6,5.0,0.4,0.3,1.3859840402049905e-06,61,0.9
87,0.02,0.6,5.0,0.4,0.3,2.858050147683841e-06,63,0.9
88,0.02,0.6,5.0,0.4,0.3,5.0928812291863207e-08,51,0.9
89,0.02,0.6,5.0,0.4,0.3,1.442473541274924e-05,68,0.9
90,0.02,0.6,5.0,0.4,0.3,1.5650950710914112e-05,68,0.9
91,0.02,0.6,5.0,0.4,0.3,5.042808903309377e-08,51,0.9
