"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"Capalaruygar",1,2016-08-01,2016-08-01,1,1,0,0,0,1,0
"Cytruk",322,2016-08-01,2023-03-12,2415,0.133333333333333,0.0341614906832298,0.614906832298137,0.279503105590062,0.217391304347826,0.105590062111801
"Devid77",40,2016-08-01,2017-07-31,365,0.10958904109589,0,0.25,0.1,0.925,0
"Disp",667,2016-08-01,2022-01-30,2009,0.332005973120956,0.0839580209895052,0.835082458770615,0.176911544227886,0.250374812593703,0.0494752623688156
"DustinHansen",8,2016-08-01,2020-07-07,1437,0.00556715379262352,0,1,0,0,0
"Eyeofthemonster",1,2016-08-01,2016-08-01,1,1,0,0,1,0,0
"FrozenButterfly",1,2016-08-01,2016-08-01,1,1,0,0,1,0,0
"FunkyGSlice",4,2016-08-01,2016-08-10,10,0.4,0,0.25,0.25,0.75,0
"Games4Fun",553,2016-08-01,2024-10-10,2993,0.18476445038423,0.0162748643761302,0.401446654611212,0.688969258589512,0.00180831826401447,0.0144665461121157
"Hago4",61,2016-08-01,2024-08-06,2928,0.0208333333333333,0.180327868852459,0.491803278688525,0.0491803278688525,0.327868852459016,0.0163934426229508
"JesusErnane",1,2016-08-01,2016-08-01,1,1,0,1,0,0,0
"Klavs",19,2016-08-01,2016-09-11,42,0.452380952380952,0,0.789473684210526,0.105263157894737,0.315789473684211,0
"Kokoeyes2000",390,2016-08-01,2022-03-18,2056,0.189688715953307,0.0666666666666667,0.361538461538462,0.00512820512820513,0.602564102564103,0
"KumanK",2,2016-08-01,2016-08-04,4,0.5,0,0,0,1,0
"MelodyXGrant",1,2016-08-01,2016-08-01,1,1,0,1,0,0,0
"Phuzer",521,2016-08-01,2022-02-23,2033,0.256271519921299,0,0.773512476007678,0.27063339731286,0,0.0153550863723608
"PradeepBJP",1,2016-08-01,2016-08-01,1,1,0,0,0,1,0
"RomanChessTroller",6,2016-08-01,2016-08-06,6,1,0,0.833333333333333,0.5,0.5,0
"RussianFish",1214,2016-08-01,2024-10-08,2991,0.405884319625543,0.109555189456343,0.892915980230643,0.00247116968698517,0,0
"SMilan",781,2016-08-01,2024-10-08,2991,0.261116683383484,0.00512163892445583,0.994878361075544,0,0.00384122919334187,0.00128040973111396
"Scruze",3,2016-08-01,2016-08-03,3,1,0,0.333333333333333,0.333333333333333,1,0
"Simonest",1219,2016-08-01,2024-10-10,2993,0.407283661877715,0.00246103363412633,0.318293683347006,0.00410172272354389,0.00164068908941756,0.803117309269893
"Soldier1",32,2016-08-01,2017-05-02,275,0.116363636363636,0,1,0,0,0
"Sulthan",7,2016-08-01,2016-08-10,10,0.7,0,0.571428571428571,0.142857142857143,0.285714285714286,0
"TarantcevZAEBAL1",1,2016-08-01,2016-08-01,1,1,0,1,0,1,0
"Ulugbek4119",6,2016-08-01,2016-08-31,31,0.193548387096774,0,0,0,0,0
"Vintage_vik",2,2016-08-01,2016-09-09,40,0.05,0,0,0,1,0
"XxScorpionZxX",3,2016-08-01,2016-08-03,3,1,0,0.666666666666667,0.333333333333333,1,0
"abromide",1,2016-08-01,2016-08-01,1,1,0,1,1,0,0
"achourkhalil6",1,2016-08-01,2016-08-01,1,1,0,0,0,1,0
"ada_aja",4,2016-08-01,2017-10-10,436,0.00917431192660551,0,0.5,0.5,0,0
"ahmedyehya",111,2016-08-01,2024-07-25,2916,0.0380658436213992,0.0720720720720721,0.369369369369369,0.00900900900900901,0.63963963963964,0.18018018018018
"anonandon",1,2016-08-01,2016-08-01,1,1,0,0,0,1,0
"atas163",733,2016-08-01,2021-05-26,1760,0.416477272727273,0.878581173260573,0.0368349249658936,0,0.0859481582537517,0.0750341064120055
"balaji786",1,2016-08-01,2016-08-01,1,1,0,0,0,1,0
"bapjun",1,2016-08-01,2016-08-01,1,1,0,0,1,0,0
"barryseal767",982,2016-08-01,2023-02-13,2388,0.411222780569514,0.235234215885947,0.215885947046843,0.00305498981670061,0.754582484725051,0.00203665987780041
"brian120495",3,2016-08-01,2016-08-11,11,0.272727272727273,0,0,0.333333333333333,0.666666666666667,0
"broccolo",1,2016-08-01,2016-08-01,1,1,0,0,1,0,0
"bumbumplayschess",428,2016-08-01,2020-06-05,1405,0.304626334519573,0.00233644859813084,0.0934579439252336,0.925233644859813,0.0186915887850467,0.184579439252336
"caio_ssantos",2,2016-08-01,2016-10-14,75,0.0266666666666667,0,0,0,1,0
"caktemur1905",4,2016-08-01,2022-07-30,2190,0.00182648401826484,0,0,0.25,1,0.25
"cataucho",8,2016-08-01,2016-12-02,124,0.0645161290322581,0,0,0,0.875,0
"chezliam",22,2016-08-01,2016-10-11,72,0.305555555555556,0,0,0,1,0
"cnunez",3,2016-08-01,2016-08-08,8,0.375,0,0,0,0,0
"cumsplat",3,2016-08-01,2016-08-18,18,0.166666666666667,0,0.333333333333333,0,1,0
"daanguns",54,2016-08-01,2016-10-03,64,0.84375,0,0.759259259259259,0.0740740740740741,0.296296296296296,0
"dially",2,2016-08-01,2016-08-03,3,0.666666666666667,0,0,0,1,0
"gnaburits",1,2016-08-01,2016-08-01,1,1,0,0,1,0,0
"goonshot",2,2016-08-01,2016-08-02,2,1,0,1,0,0,0
"gufisan",204,2016-08-01,2017-03-23,235,0.868085106382979,0,1,0,0,0
"ike94598",1,2016-08-01,2016-08-01,1,1,0,1,0,0,0
"jhonbahia",33,2016-08-01,2020-12-09,1592,0.0207286432160804,0.575757575757576,0.363636363636364,0.0606060606060606,0.242424242424242,0
"kopothegreat",5,2016-08-01,2016-12-20,142,0.0352112676056338,0,0.2,0,0.6,0
"mardoch",82,2016-08-01,2021-04-10,1714,0.0478413068844807,0.0121951219512195,0.439024390243902,0.0121951219512195,0.75609756097561,0
"mohamadfarham",79,2016-08-01,2019-08-25,1120,0.0705357142857143,0.341772151898734,0.113924050632911,0.0759493670886076,0.784810126582278,0.0379746835443038
"neoking",122,2016-08-01,2023-10-24,2641,0.0461946232487694,0.786885245901639,0.0245901639344262,0,0.204918032786885,0.00819672131147541
"pavly",7,2016-08-01,2016-09-21,52,0.134615384615385,0,0.714285714285714,0.714285714285714,0.142857142857143,0
"portabear",389,2016-08-01,2024-02-22,2762,0.140839971035482,0.0668380462724936,0.825192802056555,0.249357326478149,0.118251928020566,0.0051413881748072
"pustina",1875,2016-08-01,2024-10-10,2993,0.626461744069496,0.000533333333333333,0.749866666666667,0.344,0.000533333333333333,0.00266666666666667
"scoobidoowaaa",89,2016-08-01,2016-12-09,131,0.679389312977099,0,0.51685393258427,0,0.820224719101124,0
"shahab1341",1883,2016-08-01,2024-04-12,2812,0.669630156472262,0.178969729155603,0.670207116303771,0.00743494423791822,0.226765799256506,0.557620817843866
"sidoks2009",49,2016-08-01,2021-12-09,1957,0.0250383239652529,0.469387755102041,0.0816326530612245,0.0408163265306122,0.204081632653061,0.448979591836735
"tonilius",43,2016-08-01,2021-09-07,1864,0.023068669527897,0.116279069767442,0.0232558139534884,0.0232558139534884,0.813953488372093,0
"tweakerguy",15,2016-08-01,2016-09-11,42,0.357142857142857,0,1,0,0,0
"zezoo",5,2016-08-01,2016-08-16,16,0.3125,0,0.4,0,1,0
"ALLANOLAYA",1,2016-08-02,2016-08-02,1,1,0,0,0,1,0
"Alexproff",364,2016-08-02,2024-09-20,2972,0.122476446837147,0.032967032967033,0.192307692307692,0.381868131868132,0.288461538461538,0.208791208791209
"Anonimo01",1115,2016-08-02,2023-05-30,2493,0.447252306458083,0.00448430493273543,0.782062780269058,0.239461883408072,0.104932735426009,0.201793721973094
