"username","total_count","earliest","latest","career_length","play_freq","percent_rapid","percent_Blitz","percent_bullet","percent_classic","percent_puzzle"
"Aboali099",11,2018-07-01,2018-07-26,26,0.423076923076923,0.363636363636364,0.0909090909090909,0.0909090909090909,0.727272727272727,0
"Alexander_1991",85,2018-07-01,2022-11-29,1613,0.0526968381897086,0.329411764705882,0.741176470588235,0,0.0235294117647059,0.0352941176470588
"Annevert",13,2018-07-01,2019-07-01,366,0.0355191256830601,0.230769230769231,0.923076923076923,0,0,0
"BrunoMarllon",5,2018-07-01,2019-10-23,480,0.0104166666666667,0,1,0.2,0,0
"Chessscape",1,2018-07-01,2018-07-01,1,1,0,1,0,0,0
"Fedir149",258,2018-07-01,2019-08-22,418,0.617224880382775,0.0310077519379845,0.976744186046512,0.00775193798449612,0.00387596899224806,0.0271317829457364
"FruitsConfits",36,2018-07-01,2018-12-17,170,0.211764705882353,0,1,0,0,0
"Gabriel_F",7,2018-07-01,2018-07-08,8,0.875,1,0,0,0,0
"Ghost_Rider23",1474,2018-07-01,2024-11-01,2316,0.636442141623489,0.00203527815468114,0.998643147896879,0.00135685210312076,0,0.00814111261872456
"Imzdx",8,2018-07-01,2019-06-14,349,0.0229226361031519,0.125,0.125,0.125,0.875,0
"Juman12",2051,2018-07-01,2024-11-04,2319,0.884432945235015,0.0107264748902974,0.994149195514383,0.000975134080936129,0.000975134080936129,0.00292540224280839
"Knodlz",1,2018-07-01,2018-07-01,1,1,1,0,0,0,0
"Marcen",52,2018-07-01,2022-03-10,1349,0.0385470719051149,0.230769230769231,0,0.0384615384615385,0.192307692307692,0.692307692307692
"Mascud",449,2018-07-01,2024-10-18,2302,0.195047784535187,0.89086859688196,0.124721603563474,0.0178173719376392,0.0044543429844098,0.0356347438752784
"Mohammedsaad12345",26,2018-07-01,2018-09-09,71,0.366197183098592,0.346153846153846,0.730769230769231,0.0384615384615385,0.230769230769231,0
"Osugawa",1,2018-07-01,2018-07-01,1,1,0,0,1,0,0
"PVS1171",157,2018-07-01,2021-07-28,1124,0.139679715302491,0.229299363057325,0.286624203821656,0.592356687898089,0.114649681528662,0
"Padaj",5,2018-07-01,2018-07-22,22,0.227272727272727,0.6,0,0,0.4,0
"PowerAge18",1,2018-07-01,2018-07-01,1,1,1,0,0,0,0
"RY1",18,2018-07-01,2018-07-20,20,0.9,0.722222222222222,0.0555555555555556,0,0.555555555555556,0
"Ravenh3art",494,2018-07-01,2021-02-28,974,0.507186858316222,0.216599190283401,0.931174089068826,0.0202429149797571,0.00404858299595142,0
"Timpro25",5,2018-07-01,2018-08-09,40,0.125,0.6,0.2,0.4,0.6,0
"TrojanTi",215,2018-07-01,2022-09-09,1532,0.140339425587467,0.348837209302326,0.106976744186047,0.130232558139535,0.00465116279069767,0.423255813953488
"VFG",3,2018-07-01,2019-05-18,322,0.0093167701863354,0.666666666666667,0,0,0.333333333333333,0
"determined85",4,2018-07-01,2018-07-08,8,0.5,0,0.25,0.25,0.75,0
"diegoromanio",110,2018-07-01,2022-06-17,1448,0.0759668508287293,0.0181818181818182,1,0,0,0.0181818181818182
"dimitrisMMA",2,2018-07-01,2018-07-03,3,0.666666666666667,1,0,0,0,0
"eanderton91",16,2018-07-01,2018-11-25,148,0.108108108108108,0.5,0.25,0,0.75,0
"faccinidante",2,2018-07-01,2018-07-02,2,1,0.5,0.5,0.5,0.5,0
